AnimalGender,Borough,LicenseIssuedDate,LicenseExpiredDate,Latitude,Longitude
M,Manhattan,10/23/2014,10/23/2016,40.759511,-73.99019
M,Manhattan,10/23/2014,10/23/2019,40.776099,-73.98285
F,Manhattan,10/23/2014,11/01/2019,40.732509,-73.98935
M,Manhattan,10/23/2014,10/23/2016,40.759511,-73.99019
F,Manhattan,10/23/2014,10/23/2016,40.786387,-73.97709
F,Manhattan,10/23/2014,10/23/2019,40.759511,-73.99019
M,Manhattan,10/23/2014,09/10/2017,40.798502,-73.96811
F,Manhattan,10/23/2014,11/01/2016,40.848764,-73.93496
F,Manhattan,10/23/2014,11/29/2016,40.732509,-73.98935
M,Staten Island,10/23/2014,09/08/2016,40.629448,-74.16239
M,Staten Island,10/23/2014,11/09/2016,40.569394,-74.11785
M,Manhattan,10/24/2014,11/04/2016,40.74618,-73.97759
F,Manhattan,10/24/2014,11/14/2016,40.786387,-73.97709
M,Manhattan,10/24/2014,02/05/2016,40.798502,-73.96811
M,Manhattan,10/24/2014,11/19/2019,40.798502,-73.96811
F,Manhattan,10/24/2014,04/25/2019,40.71704,-73.987
F,Manhattan,10/24/2014,11/04/2017,40.781894,-73.95039
M,Manhattan,10/24/2014,08/27/2019,40.759511,-73.99019
M,Manhattan,10/24/2014,10/24/2019,40.74618,-73.97759
F,Manhattan,10/24/2014,11/09/2019,40.71704,-73.987
F,Manhattan,10/25/2014,10/25/2017,40.741012,-74.00012
M,Manhattan,10/25/2014,11/06/2017,40.781894,-73.95039
M,Manhattan,10/25/2014,10/25/2016,40.732509,-73.98935
M,Manhattan,10/25/2014,10/25/2019,40.74618,-73.97759
M,Manhattan,10/25/2014,08/23/2018,40.732509,-73.98935
M,Manhattan,10/25/2014,10/25/2019,40.732509,-73.98935
M,Manhattan,10/25/2014,12/28/2019,40.74618,-73.97759
F,Manhattan,10/25/2014,10/25/2017,40.734718,-74.00532
F,Manhattan,10/25/2014,06/29/2019,40.798502,-73.96811
M,Manhattan,10/25/2014,10/25/2019,40.727093,-73.97864
M,Manhattan,10/25/2014,10/25/2019,40.727093,-73.97864
F,Manhattan,10/25/2014,10/25/2019,40.776777,-73.9541
F,Manhattan,10/25/2014,09/07/2017,40.727093,-73.97864
M,Manhattan,10/25/2014,10/25/2019,40.727093,-73.97864
F,Manhattan,10/25/2014,09/07/2017,40.727093,-73.97864
M,Manhattan,10/25/2014,10/25/2016,40.727093,-73.97864
F,Manhattan,10/25/2014,11/04/2019,40.798502,-73.96811
F,Manhattan,10/25/2014,10/25/2017,40.734718,-74.00532
M,Manhattan,10/26/2014,11/03/2019,40.741012,-74.00012
M,Staten Island,10/26/2014,09/06/2016,40.60787,-74.08991
M,Manhattan,10/26/2014,10/26/2019,40.848764,-73.93496
F,Manhattan,10/26/2014,11/15/2019,40.732509,-73.98935
M,Manhattan,10/26/2014,09/24/2019,40.732509,-73.98935
M,Manhattan,10/26/2014,11/22/2019,40.752159,-73.97231
M,Manhattan,10/27/2014,10/27/2016,40.786387,-73.97709
M,Manhattan,10/27/2014,09/16/2016,40.798502,-73.96811
M,Manhattan,10/27/2014,11/24/2017,40.717179,-74.01433
F,Manhattan,10/27/2014,11/01/2019,40.798502,-73.96811
F,Manhattan,10/27/2014,10/27/2019,40.781894,-73.95039
M,Manhattan,10/27/2014,10/27/2016,40.786387,-73.97709
F,Staten Island,10/28/2014,10/28/2017,40.543117,-74.17628
M,Staten Island,10/28/2014,08/30/2016,40.543117,-74.17628
F,Manhattan,10/28/2014,11/02/2016,40.776777,-73.9541
F,Bronx,10/28/2014,10/28/2017,40.819729,-73.9223
F,Manhattan,10/29/2014,11/09/2016,40.739022,-73.98205
F,Manhattan,10/29/2014,10/29/2017,40.720666,-74.00526
M,Staten Island,10/29/2014,10/31/2016,40.569394,-74.11785
F,Manhattan,10/29/2014,10/29/2016,40.755101,-73.99337
M,Manhattan,10/30/2014,10/30/2017,40.734718,-74.00532
M,Manhattan,10/30/2014,10/30/2016,40.734718,-74.00532
F,Staten Island,10/30/2014,01/03/2016,40.63212,-74.11551
M,Manhattan,10/31/2014,11/20/2016,40.791586,-73.94575
M,Manhattan,11/01/2014,10/28/2016,40.759511,-73.99019
M,Manhattan,11/01/2014,11/19/2016,40.732509,-73.98935
F,Staten Island,11/02/2014,11/16/2018,40.508274,-74.24387
F,Manhattan,11/02/2014,11/02/2017,40.74618,-73.97759
F,Manhattan,11/02/2014,11/02/2017,40.727093,-73.97864
F,Manhattan,11/02/2014,11/06/2019,40.732509,-73.98935
M,Manhattan,11/02/2014,11/02/2016,40.765714,-73.9856
F,Manhattan,11/02/2014,10/05/2017,40.74618,-73.97759
M,Manhattan,11/02/2014,11/23/2017,40.720666,-74.00526
M,Manhattan,11/03/2014,11/03/2019,40.72596,-73.99834
M,Staten Island,11/03/2014,11/30/2017,40.606337,-74.14513
F,Manhattan,11/03/2014,01/22/2016,40.786387,-73.97709
F,Manhattan,11/04/2014,11/04/2016,40.727093,-73.97864
M,Staten Island,11/04/2014,11/04/2019,40.63212,-74.11551
M,Staten Island,11/05/2014,11/03/2019,40.569394,-74.11785
F,Manhattan,11/05/2014,10/30/2017,40.741012,-74.00012
M,Manhattan,11/05/2014,11/05/2016,40.727093,-73.97864
F,Manhattan,11/06/2014,11/06/2016,40.74618,-73.97759
M,Manhattan,11/06/2014,09/11/2016,40.798502,-73.96811
